,season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
0,2015,ARI,REG,16,353,562,4775,35,13,27,-159,4,2,6084,1782,237,142.46525964098925,4.347065540877256,0,452,1917,16,8,4,94,-27.7469323119212,0,353,550,4775,35,4,3,6084,1782,237,187.80871441924677,0,1,707,35,151,86,348,22,35.0,258.0,107,19,263,69,4,8,2,0,8,9,14,14,2,94,758,55,39,289,32,770,28,31,3,0,47,0.9032258064516129,1,12,9,6,0,0,0,0,0,1,2,0,43;22;21;27;42;38;29;31;39;21;21;37;35;33;43;43;24;32;26;41;33;29;27;23;47;28;38;19,47;55;51,,892,153,0,53,58,5,0,0.9137931034482759,1,1,0,0,32
1,2015,ATL,REG,16,410,621,4602,21,17,32,-223,8,3,4788,1856,231,72.34844252021891,-0.04672034729628354,1,420,1606,13,8,6,105,-73.04481076041117,0,410,617,4602,21,4,2,4788,1856,231,129.6925114210605,1,0,667,53,237,46,185,12,19.0,117.0,75,15,220,61,1,0,0,0,12,18,8,8,3,100,969,49,27,255,26,667,25,31,5,1,54,0.8064516129032258,1,6,7,8,3,0,0,0,1,4,0,0,41;39;44;47;42;32;42;28;27;21;24;44;36;19;31;28;47;52;29;34;33;46;37;54;51,38;48;47;46;43,45,928,222,45,34,34,0,0,1.0,0,0,0,0,
2,2015,BAL,REG,16,426,676,4449,21,21,24,-178,2,2,5083,2186,212,-18.648257388418454,-0.6711166335227794,1,383,1478,8,6,2,94,-54.862547191322236,0,426,668,4449,21,3,1,5083,2138,212,28.38095977212695,1,2,647,22,286,79,283,8,37.0,220.0,94,6,51,65,1,2,0,68,5,8,8,8,1,122,1153,65,40,450,34,857,33,40,7,0,52,0.825,0,10,9,10,4,0,0,0,0,1,6,0,52;44;22;21;37;31;21;40;42;52;23;22;36;44;48;29;48;45;39;25;20;47;49;35;38;31;28;30;37;50;28;50;49,50;51;45;58;51;51;55,,1213,361,0,29,29,0,0,1.0,3,3,0,0,52;39;47
3,2015,BUF,REG,16,295,465,3600,23,9,42,-257,7,2,4737,1294,155,43.53203010535892,2.6147097575431792,0,509,2432,19,8,2,131,8.106519793128054,2,295,462,3600,23,6,3,4737,1290,155,101.23467575160994,0,0,610,97,247,45,165,9,21.0,125.0,75,17,253,93,2,5,1,0,15,17,8,8,1,143,1249,61,31,232,41,772,23,27,4,0,52,0.8518518518518519,0,5,8,7,3,0,0,0,1,1,2,0,41;45;26;51;51;31;38;26;43;47;41;29;52;33;27;36;38;40;32;32;20;37;42,54;30;48;50,,858,182,0,34,40,6,0,0.85,0,0,0,0,
4,2015,CAR,REG,16,300,501,3873,35,10,33,-284,1,1,5180,1494,197,85.86609990519874,0.2849979979754945,0,526,2282,19,8,5,144,6.919146563638752,0,300,494,3873,35,3,3,5180,1494,197,133.7235143506974,0,0,650,42,336,86,386,22,44.0,302.0,110,24,301,84,4,0,0,0,3,6,15,15,1,103,887,62,30,282,22,407,30,36,2,4,52,0.8333333333333334,1,10,4,13,2,0,0,0,0,1,1,0,43;47;28;20;47;24;27;27;35;29;39;42;52;20;49;22;48;19;42;48;25;49;43;25;50;38;43;33;47;49,53;43,43;53;43;34,1110,96,173,56,59,2,1,0.9491525423728814,2,2,0,0,52;43
5,2015,CHI,REG,16,334,523,3843,21,12,34,-183,5,5,4327,1837,177,5.255541195294274,1.5404708812691572,1,468,1854,13,5,2,112,-27.4487426756843,1,334,519,3843,21,4,0,4327,1841,177,76.43457412420683,1,0,683,36,180,56,302,6,35.0,237.0,93,8,103,53,0,4,0,0,9,12,9,9,0,99,909,62,31,242,33,892,33,39,6,0,55,0.8461538461538461,1,8,10,7,7,0,0,0,2,2,2,0,28;50;44;40;23;51;19;54;49;44;30;27;23;38;29;55;33;35;37;36;46;37;37;21;40;51;51;26;27;50;39;49;34,51;47;34;40;36;50,,1253,258,0,28,29,0,1,0.9655172413793104,1,1,0,0,49
6,2015,CIN,REG,16,334,505,4104,31,9,32,-181,2,2,4432,1803,191,125.68454852987517,4.634053180314074,0,467,1805,18,8,5,112,-54.65101583478565,1,334,495,4104,31,3,1,4432,1803,191,181.2548406227004,0,0,690,25,307,71,345,10,42.0,288.0,110,21,202,87,1,1,0,0,9,15,7,7,0,111,917,66,43,350,34,700,23,28,4,1,52,0.8214285714285714,0,6,5,10,2,0,0,0,1,2,1,0,32;35;21;31;42;47;39;44;45;44;28;42;39;43;21;44;40;20;46;27;22;52;52,36;44;54;45,42,856,179,42,48,49,0,1,0.9795918367346939,1,1,0,0,42
7,2015,CLE,REG,16,371,609,4156,20,12,53,-374,13,8,4871,1956,192,-37.22303268052066,-0.734351173043251,2,380,1529,5,5,4,86,-39.195723808453366,0,371,601,4156,20,6,3,4871,1953,192,67.73248023108955,2,1,672,14,324,62,246,14,29.0,157.0,71,11,210,54,2,3,0,-1,9,11,10,10,0,120,1083,57,29,325,41,1041,28,32,0,4,47,0.875,0,11,10,7,0,0,0,0,0,0,0,0,26;24;41;36;28;33;40;43;43;37;32;26;25;44;27;23;31;21;47;26;34;37;45;36;29;39;33;29,,51;47;42;51,935,0,191,22,24,2,0,0.9166666666666666,1,1,0,0,32
8,2015,DAL,REG,16,334,528,3677,16,22,33,-206,3,1,4053,1769,175,-46.13478794334687,-0.7663259846167297,1,408,1890,8,7,4,98,-10.008070782013835,0,334,519,3677,16,4,4,4053,1769,175,-11.676417121798917,1,1,612,83,329,69,318,6,31.0,229.0,76,8,62,54,1,2,1,80,7,8,3,3,0,112,879,71,33,183,28,704,30,32,2,0,54,0.9375,0,9,10,6,5,0,0,0,0,1,1,0,21;32;20;28;30;38;51;23;30;48;33;35;52;27;41;44;42;53;30;21;48;38;34;20;54;27;38;50;46;22,48;50,,1076,98,0,25,25,0,0,1.0,1,1,0,0,54
9,2015,DEN,REG,16,368,606,4216,19,23,39,-246,4,1,5534,1852,201,-26.848570396328753,-1.8258087978457773,0,411,1718,13,5,3,88,-44.97923971470357,0,368,604,4216,19,4,3,5534,1852,201,23.80395312418919,0,1,709,27,221,86,391,22,52.0,351.0,123,14,321,83,4,3,1,0,8,9,13,13,1,115,1063,76,29,283,27,588,30,35,5,0,57,0.8571428571428571,0,12,8,5,5,0,0,0,0,3,2,0,57;56;43;33;54;48;33;47;39;25;20;52;29;25;39;34;50;24;29;24;21;23;41;35;29;20;23;37;48;35,51;47;52;49;45,,1073,244,0,35,36,1,0,0.9722222222222222,1,1,0,0,34
